Timestamp,CAN_ID,DLC,DATA_0,DATA_1,DATA_2,DATA_3,DATA_4,DATA_5,DATA_6,DATA_7,Flag
1513703096.5619311,0260,8,246,36,55,149,84,56,241,79,R
1513701551.2310245,018F,8,47,83,246,140,1,110,154,6,R
1513703602.5720515,018F,8,200,117,161,35,41,48,19,134,R
1513700060.301206,0329,8,61,168,56,252,248,187,53,69,R
1513702027.3405468,018F,8,182,152,94,120,169,24,24,152,R
1513700503.2100642,0260,8,27,120,233,92,84,111,121,88,R
1513703919.3783875,0316,8,221,48,35,129,96,30,166,25,R
1513702466.049321,018F,8,133,170,46,130,130,163,51,82,R
1513704697.7939558,0322,8,233,127,157,109,209,100,43,231,T
1513704014.6802936,0000,8,0,0,0,0,0,0,0,0,T
1513703489.2697854,0329,8,104,47,30,118,215,121,181,160,R
1513703003.2600653,0260,8,119,115,215,237,150,15,11,177,R
1513702741.554831,0316,8,151,121,167,223,194,32,234,238,R
1513704805.6961138,0934,8,84,105,34,26,12,183,159,167,T
1513701708.4341686,02A0,8,40,47,77,1,151,9,169,133,R
1513700389.6077921,02A0,8,35,206,232,37,171,81,214,174,R
1513704580.0916018,0316,8,245,247,216,203,214,246,247,207,T
1513702500.250005,0316,8,19,118,229,58,224,196,20,201,R
1513704609.9922,0316,8,218,231,212,200,247,250,234,241,T
1513704874.7974958,0000,8,0,0,0,0,0,0,0,0,T
1513702594.751895,0316,8,71,194,224,146,182,233,55,47,R
1513702281.045621,0329,8,140,246,103,182,68,96,57,176,R
1513704798.0959618,0000,8,0,0,0,0,0,0,0,0,T
1513704438.7887757,0000,8,0,0,0,0,0,0,0,0,T
1513704053.9810796,0316,8,237,250,219,252,201,221,218,204,T
1513703542.5708513,0316,8,51,16,244,119,209,180,249,37,R
1513700268.0053601,02A0,8,88,111,75,136,137,239,9,200,R
1513700942.3188465,0260,8,108,146,231,227,40,139,147,161,R
1513703719.6743934,018F,8,246,207,235,125,56,189,246,70,R
1513701964.2392848,018F,8,228,214,148,24,50,142,77,12,R
1513704482.6896539,0124,8,194,130,136,180,55,137,85,192,T
1513702314.846297,0329,8,233,147,119,116,250,218,122,142,R
1513700679.0135803,0316,8,59,93,171,42,131,76,177,231,R
1513701714.5342908,0260,8,92,20,233,136,220,203,7,73,R
1513703166.8633373,0260,8,19,152,27,12,183,48,22,74,R
1513702559.1511831,0260,8,241,10,249,117,238,74,196,132,R
1513702840.056801,0329,8,123,0,13,179,202,32,240,14,R
