timestamp,speed_kmh,steering_angle,is_hacked
2026-06-18 11:05:11.800,47.12,0.035,0
2026-06-18 11:43:23.900,53.34,0.052,0
2026-06-18 12:35:34.000,94.96,0.805,1
2026-06-18 10:06:04.900,47.84,0.066,0
2026-06-18 10:25:51.300,43.18,0.175,0
2026-06-18 11:19:25.800,48.02,0.019,0
2026-06-18 12:41:44.800,61.77,0.807,1
2026-06-18 11:07:30.500,36.94,-0.063,0
2026-06-18 10:38:06.200,55.65,0.003,0
2026-06-18 11:25:18.400,56.67,-0.016,0
2026-06-18 10:24:00.000,49.73,-0.007,0
2026-06-18 10:14:07.500,47.11,-0.017,0
2026-06-18 12:08:07.000,51.33,0.1,0
2026-06-18 12:40:27.400,111.4,0.959,1
2026-06-18 10:48:13.800,54.72,0.034,0
2026-06-18 12:13:04.300,54.35,0.057,0
2026-06-18 10:36:02.300,48.24,-0.037,0
2026-06-18 12:42:45.900,103.07,0.57,1
2026-06-18 10:27:08.400,49.79,0.255,0
2026-06-18 10:14:00.500,38.18,0.06,0
2026-06-18 12:39:27.200,67.81,0.917,1
2026-06-18 10:28:09.700,56.32,-0.103,0
2026-06-18 10:21:02.100,49.86,0.177,0
2026-06-18 12:18:58.800,99.84,1.222,1
2026-06-18 11:19:05.000,50.41,0.118,0
2026-06-18 12:21:37.100,47.6,0.502,1
2026-06-18 10:41:48.900,54.86,0.007,0
2026-06-18 11:37:08.200,51.02,-0.135,0
2026-06-18 10:23:16.200,52.09,0.015,0
2026-06-18 10:04:16.100,50.43,-0.089,0
2026-06-18 10:48:49.700,43.86,-0.004,0
2026-06-18 12:35:46.800,80.81,0.962,1
2026-06-18 11:02:03.500,44.93,-0.192,0
2026-06-18 11:46:06.900,53.83,-0.05,0
2026-06-18 10:20:42.800,48.8,-0.182,0
2026-06-18 12:23:39.100,112.34,0.833,1
2026-06-18 10:04:02.900,48.33,-0.012,0
2026-06-18 12:30:39.500,91.31,0.997,1
2026-06-18 12:37:28.900,85.59,0.661,1
2026-06-18 10:23:15.700,54.12,-0.038,0
2026-06-18 12:34:45.000,87.68,0.488,1
2026-06-18 10:29:01.900,50.42,-0.049,0
2026-06-18 12:24:45.700,81.55,0.512,1
2026-06-18 12:21:57.800,75.65,0.43,1
2026-06-18 10:47:26.400,49.24,0.051,0
2026-06-18 10:24:52.400,49.82,-0.109,0
2026-06-18 12:39:53.500,85.39,0.57,1
2026-06-18 12:45:49.200,87.66,0.488,1
2026-06-18 10:59:01.800,48.51,-0.066,0
2026-06-18 11:13:35.400,52.36,-0.119,0
2026-06-18 11:15:33.000,42.35,0.095,0
2026-06-18 11:59:48.200,48.26,-0.021,0
2026-06-18 11:40:31.000,46.68,0.135,0
2026-06-18 10:34:02.900,48.95,-0.014,0
2026-06-18 10:30:55.400,59.46,0.039,0
2026-06-18 10:38:02.800,52.3,-0.024,0
2026-06-18 12:19:33.700,73.09,0.641,1
2026-06-18 11:34:59.900,60.8,-0.137,0
2026-06-18 11:37:08.700,52.71,0.027,0
2026-06-18 11:14:17.300,55.1,0.122,0
2026-06-18 10:48:22.400,48.83,-0.031,0
2026-06-18 12:36:09.000,91.28,0.998,1
2026-06-18 12:27:06.800,87.05,0.818,1
2026-06-18 11:29:49.800,50.63,0.239,0
2026-06-18 12:33:34.100,93.77,0.689,1
2026-06-18 10:52:23.400,45.61,0.114,0
2026-06-18 12:29:42.500,89.06,0.855,1
2026-06-18 11:46:02.900,54.06,-0.016,0
2026-06-18 10:49:41.700,58.95,-0.233,0
2026-06-18 10:52:29.700,54.73,0.077,0
2026-06-18 10:33:41.500,45.89,-0.022,0
2026-06-18 12:15:14.500,117.42,1.056,1
2026-06-18 12:24:17.900,64.28,1.074,1
2026-06-18 10:02:26.400,47.1,-0.042,0
2026-06-18 10:53:12.100,49.84,-0.063,0
2026-06-18 12:14:58.200,107.28,0.724,1
2026-06-18 11:28:29.200,51.97,0.061,0
2026-06-18 10:16:35.800,53.25,0.002,0
2026-06-18 12:27:52.600,112.63,0.608,1
2026-06-18 12:08:39.900,51.88,-0.033,0
2026-06-18 12:43:55.500,97.63,0.595,1
2026-06-18 11:09:43.900,54.63,-0.013,0
2026-06-18 12:43:16.700,85.72,0.734,1
2026-06-18 10:25:17.500,53.16,0.091,0
2026-06-18 11:01:58.800,52.43,0.152,0
2026-06-18 10:20:56.500,47.83,-0.068,0
2026-06-18 11:03:48.200,45.69,0.052,0
2026-06-18 12:38:58.400,69.61,1.405,1
2026-06-18 10:03:59.700,44.98,0.051,0
2026-06-18 10:10:57.300,47.65,-0.045,0
2026-06-18 10:30:12.800,50.72,-0.101,0
2026-06-18 10:23:03.400,43.96,0.113,0
2026-06-18 10:30:50.100,45.41,-0.061,0
2026-06-18 12:21:54.000,59.84,0.911,1
2026-06-18 10:41:51.500,45.9,-0.086,0
2026-06-18 11:30:35.500,52.77,-0.016,0
2026-06-18 10:25:52.500,55.49,-0.092,0
2026-06-18 11:58:36.600,40.2,0.05,0
2026-06-18 12:28:26.800,101.53,0.66,1
2026-06-18 12:15:37.300,66.12,0.794,1
2026-06-18 10:56:01.300,45.71,0.004,0
2026-06-18 11:45:13.300,54.21,0.156,0
